path,title,topic,tier,tier_label,content_form,caution,rationale
breeds/affenpinschers.md,Affenpinschers,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/afghanhounds.md,Afghan Hounds,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/airedales.md,Airedale Terriers,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/akitas.md,Akitas,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/alaskanmalamutes.md,Alaskan Malamutes,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/americanbulldogs.md,American Bulldogs,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/americancockerspaniels.md,American Cocker Spaniels,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/americaneskimodogs.md,American Eskimo Dogs,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/americanpitbullterriers.md,American Pit Bull Terriers,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/americanstaffordshireterriers.md,American Staffordshire Terriers,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/americanwaterspaniels.md,American Water Spaniels,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/anatolianshepherddogs.md,Anatolian Shepherds,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/appenzellermountaindogs.md,Appenzeller Sennenhund (Mountain Dog),Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/australiancattledogs.md,Australian Cattle Dogs,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/australiankelpies.md,Australian Kelpies,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/australianshepherds.md,Australian Shepherds,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/australianterriers.md,Australian Terriers,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/basenjis.md,Basenjis,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/bassethounds.md,Basset Hounds,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/beagles.md,Beagles,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/beardedcollies.md,Bearded Collies,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/beaucerons.md,Beaucerons,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/bedlingtonterriers.md,Bedlington Terriers,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/belgianshepherds.md,Belgian Shepherds,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/bernesemountaindogs.md,Bernese Mountain Dogs,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/bichonfrise.md,Bichon Frise,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/bloodhounds.md,Bloodhounds,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/bolognese.md,Bolognese,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/bordercollies.md,Border Collies,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/borderterriers.md,Border Terriers,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/borzoi.md,Borzois,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/bostonterriers.md,Boston Terriers,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/bouvierdesflandres.md,Bouvier des Flandres,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/boxers.md,Boxer Dogs,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/briards.md,Briards,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/brittanys.md,Brittanys,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/brusselsgriffons.md,Brussels Griffons,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/bulldogs.md,English Bulldogs,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/bullmastiffs.md,Bullmastiffs,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/bullterriers.md,English Bull Terriers,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/cairnterriers.md,Cairn Terriers,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/canaandogs.md,Canaan Dogs,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/canecorsos.md,Cane Corsos,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/cardiganwelshcorgis.md,Cardigan Welsh Corgis,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/cavalierkingcharlesspaniels.md,Cavalier King Charles Spaniels,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/ceskyterriers.md,Cesky Terriers,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/chesapeakebayretrievers.md,Chesapeake Bay Retrievers,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/chihuahuas.md,Chihuahuas,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/chinesecresteds.md,Chinese Cresteds,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/chinesesharpei.md,Chinese Shar-peis,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/chinooks.md,Chinook Dogs,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/chowchows.md,Chow Chows,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/clumberspaniels.md,Clumber Spaniels,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/collies.md,Rough & Smooth Collies,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/coonhounds.md,Coonhounds,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/cotondetulear.md,Coton de Tulear,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/curlycoatedretrievers.md,Curly-Coated Retrievers,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
breeds/dachshunds.md,Dachshunds,Breed guides,R,"Breed, selection, and acquisition reference",Consolidated reference,,"Combined breed overview, acquisition, training, health, and FAQ material."
